PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s)
39933081,Time to Treatment in Advanced Lung Cancer: A Quality Improvement Project Using Nurse Navigation and Liquid Biopsy.,2025,,
39933019,Targeting c-MYC and gain-of-function p53 through inhibition or degradation of the kinase LZK suppresses the growth of HNSCC tumors.,2025,,
39933014,Comparative analysis of VMAT plans on Halcyon and infinity for lung cancer radiotherapy.,2025,,
39932839,Pembrolizumab plus Pemetrexed and Platinum in Metastatic Non-Squamous Non-Small Cell Lung Cancer: A Real-Life Study at a Portuguese Centre.,2025,,
39932782,Rheumatoid arthritis-associated interstitial lung disease: clinical characteristics and mortality in a large single-centre cohort.,2025,,
39932765,,2025,,
39932719,Can longitudinal biomarkers guide treatment decisions? Time will tell.,2025,,
39932597,The role of BIM gene deletion in ALK-mutated Non-small cell lung cancer treated with alectinib.,2025,,
39932575,Association between early radiographic chest findings and clinical outcomes in pediatric drowning: a retrospective study in a tertiary Italian hospital.,2025,,
39932528,Clinical characteristics and outcomes in leptomeningeal disease with or without brain metastasis: insights from an explorative data analysis of the Charité LMD registry.,2025,,
39932490,Immunogenicity and safety of a live-attenuated SARS-CoV-2 vaccine candidate based on multiple attenuation mechanisms.,2025,,
39932476,A particle of concern: explored and proposed underlying mechanisms of microplastic-induced lung damage and pulmonary fibrosis.,2025,"Gautam, Laltanpuia, Singh, Kushwaha","Department of Pharmacology and Toxicology, National Institute of Pharmaceutical Education and Research, Raebareli (NIPER-R), Lucknow, India., Department of Pharmacology and Toxicology, National Institute of Pharmaceutical Education and Research, Raebareli (NIPER-R), Lucknow, India., Department of Pharmacology and Toxicology, National Institute of Pharmaceutical Education and Research, Raebareli (NIPER-R), Lucknow, India., Department of Pharmacology and Toxicology, National Institute of Pharmaceutical Education and Research, Raebareli (NIPER-R), Lucknow, India."
39932456,Tribbles Pseudokinase 3 Converts Sorafenib Therapy to Neutrophil-Mediated Lung Metastasis in Hepatocellular Carcinoma.,2025,"Wang, Zhou","Department of Pharmacy, Zhuhai People's Hospital (The Affiliated Hospital of Beijing Institute of Technology, Zhuhai Clinical Medical College of Jinan University), Zhuhai, 519000, China., Department of Pharmacy, Zhuhai People's Hospital (The Affiliated Hospital of Beijing Institute of Technology, Zhuhai Clinical Medical College of Jinan University), Zhuhai, 519000, China."
39932442,Phosphorylation of POU3F3 Mediated Nuclear Translocation Promotes Proliferation in Non-Small Cell Lung Cancer through Accelerating ATP5PF Transcription and ATP Production.,2025,,
39932411,Preoperative Chest CT Myosteatosis Indicates Worse Postoperative Survival in Stage 0-IIB Non-Small Cell Lung Cancer.,2025,,
39932371,"A Refined Score, Namely Thoracic Ultrasound Score, to Predict the Need for Surfactant in Preterm Neonates: A Prospective, Multicenter, Observational Study.",2025,,
39932308,Review of BCG immunotherapy for bladder cancer.,2025,,
39932249,Assessing Serum and Biopsy Biomarkers for Predicting Allergic Asthma Severity: A Comprehensive Study.,2025,Smail,"College of Pharmacy, Cihan University-Erbil, Erbil, Kurdistan Region, Iraq."
39932245,Antisynthetase syndrome with anti-glycyl tRNA synthetase antibodies in a patient with axial spondyloarthritis treated with tumor necrosis factor-α inhibitors.,2025,,
39932218,Renal-Clearable Metalloporphyrin Complex-Based Nanosonosensitizers Using Photoacoustic Imaging Guiding to Enhance Sonodynamic Cancer Therapy.,2025,,
39931869,Antimycobacterial Activities of the ,2025,,
39931860,A Review of the Progress in the Diagnosis and Treatment of Pulmonary Sarcomatoid Carcinoma.,2025,,
39931859,Virtual Screening and Biological Evaluation of T22306 as a Potent Third-generation EGFR Inhibitor for NSCLC Treatment.,2025,"Wang, Ruan, Fan, Long, Zhang, Li, Xu, Wang","Jiangxi Provincial Key Laboratory of Drug Design and Evaluation, School of Pharmacy, Jiangxi Science & Technology Normal University, Nanchang, Jiangxi, 330013, China., Jiangxi Provincial Key Laboratory of Drug Design and Evaluation, School of Pharmacy, Jiangxi Science & Technology Normal University, Nanchang, Jiangxi, 330013, China., Jiangxi Provincial Key Laboratory of Drug Design and Evaluation, School of Pharmacy, Jiangxi Science & Technology Normal University, Nanchang, Jiangxi, 330013, China., Jiangxi Provincial Key Laboratory of Drug Design and Evaluation, School of Pharmacy, Jiangxi Science & Technology Normal University, Nanchang, Jiangxi, 330013, China., Jiangxi Provincial Key Laboratory of Drug Design and Evaluation, School of Pharmacy, Jiangxi Science & Technology Normal University, Nanchang, Jiangxi, 330013, China., Jiangxi Provincial Key Laboratory of Drug Design and Evaluation, School of Pharmacy, Jiangxi Science & Technology Normal University, Nanchang, Jiangxi, 330013, China., Jiangxi Provincial Key Laboratory of Drug Design and Evaluation, School of Pharmacy, Jiangxi Science & Technology Normal University, Nanchang, Jiangxi, 330013, China., Jiangxi Provincial Key Laboratory of Drug Design and Evaluation, School of Pharmacy, Jiangxi Science & Technology Normal University, Nanchang, Jiangxi, 330013, China."
39931841,Benralizumab in severe eosinophilic asthma by biologic use and key clinical subgroups: real-world XALOC-1 programme: a plain language summary of publication.,2025,,
39931607,Visual Measurements of Breathing Parameters in Children With a Particular Focus on Phase Angle: A Pilot Study.,2025,,
39931594,Beyond the Lungs: An Atypical Presentation of Renal Tuberculosis.,2025,,
39931532,Intervening Non-Small-Cell Lung Cancer Progression by Cell Membrane Coated Platycodin D via Regulating Hsa-miR-1246/FUT9/GSK3β Pathway.,2025,,
39931476,PortNet: Achieving lightweight architecture and high accuracy in lung cancer cell classification.,2025,,
39931470,Amorphous calcium phosphate-coated surfaces as a model for bone microenvironment in prostate cancer.,2025,,
39931260,Competing Risks and Their Impact on Treatment Efficacy Assessment in Fractionated Stereotactic Radiotherapy for Brain Metastases: A Retrospective Study.,2025,,
39931252,Estimating the Cost-Effectiveness of Tumor Treating Fields (TTFields) Therapy with an Immune Checkpoint Inhibitor or Docetaxel in Metastatic Non-Small Cell Lung Cancer.,2025,,
39931060,Impact of chemoradiotherapy for first primary lung cancer on the prognosis and re-chemoradiotherapy sensitivity of second primary lung cancer.,2025,,
39931030,A case of hepatic sarcomatoid cholangiocarcinoma with diaphragmatic and right lower lobe lung invasion.,2025,,
39930946,Once-Weekly Semaglutide Versus Once-Daily Liraglutide for Weight Loss in Adults: A Meta-Analysis of Randomized Controlled Trials.,2025,,
39930884,The Novel Oncolytic Herpes Simplex Virus Type-1 (HSV-1) Vaccine Strain VC2 Constitutively Expressing GM-CSF Causes Increased Intratumoral T Cell Infiltration and Inhibition of Tumor Metastasis in the 4T1/Balb/c Mouse Model of Stage Four Breast Cancer.,2025,,
39930854,Stereotactic Ablative Radiotherapy Versus Surgery in Patients with Pulmonary Metastases from Colorectal Cancer.,2025,,
39930791,Elexacaftor/tezacaftor/ivacaftor and inflammation in children and adolescents with cystic fibrosis: a retrospective dual-center cohort study.,2025,,
39930787,Identification of Structurally Novel KRAS,2025,Dahal,"Department of Pharmacokinetics and Drug Metabolism, Amgen Research, 750 Gateway Boulevard, Suite 100, South San Francisco, California 94080, United States."
39930698,"Global Burden of Tracheal, Bronchus, and Lung Cancer in Adults Over 55 Years Old Based on Socio demographic Status and Geographical and Gender Differences from 2010-2021.",2025,,
39930696,Impact of nebulizers on nanoparticles-based gene delivery efficiency: ,2025,,
39930648,SRF/SLC31A1 signaling promotes cuproptosis induced by celastrol in NSCLC.,2025,"Xue, Qin, Huang, Tang, Chen, Liang, Xu, Qin, Yang, Tan","School of Pharmacy of Guilin Medical University, Guilin 541001 China; Guangxi Key Laboratory of Molecular Medicine in Liver Injury and Repair, Affiliated Hospital of Guilin Medical University, Guilin 541001 China., School of Pharmacy of Guilin Medical University, Guilin 541001 China; Guangxi Key Laboratory of Molecular Medicine in Liver Injury and Repair, Affiliated Hospital of Guilin Medical University, Guilin 541001 China., School of Pharmacy of Guilin Medical University, Guilin 541001 China; Guangxi Key Laboratory of Molecular Medicine in Liver Injury and Repair, Affiliated Hospital of Guilin Medical University, Guilin 541001 China., School of Pharmacy of Guilin Medical University, Guilin 541001 China; Guangxi Key Laboratory of Molecular Medicine in Liver Injury and Repair, Affiliated Hospital of Guilin Medical University, Guilin 541001 China., School of Pharmacy of Guilin Medical University, Guilin 541001 China; Guangxi Key Laboratory of Molecular Medicine in Liver Injury and Repair, Affiliated Hospital of Guilin Medical University, Guilin 541001 China., School of Pharmacy of Guilin Medical University, Guilin 541001 China; Guangxi Key Laboratory of Molecular Medicine in Liver Injury and Repair, Affiliated Hospital of Guilin Medical University, Guilin 541001 China., School of Pharmacy of Guilin Medical University, Guilin 541001 China; Guangxi Key Laboratory of Molecular Medicine in Liver Injury and Repair, Affiliated Hospital of Guilin Medical University, Guilin 541001 China., School of Pharmacy of Guilin Medical University, Guilin 541001 China; Guangxi Key Laboratory of Molecular Medicine in Liver Injury and Repair, Affiliated Hospital of Guilin Medical University, Guilin 541001 China., School of Pharmacy of Guilin Medical University, Guilin 541001 China; Guangxi Key Laboratory of Molecular Medicine in Liver Injury and Repair, Affiliated Hospital of Guilin Medical University, Guilin 541001 China., School of Pharmacy of Guilin Medical University, Guilin 541001 China; Guangxi Key Laboratory of Molecular Medicine in Liver Injury and Repair, Affiliated Hospital of Guilin Medical University, Guilin 541001 China; Guangxi Health Commission Key Laboratory of Basic Research in Sphingolipid Metabolism Related Diseases, Affiliated Hospital of Guilin Medical University, Guilin 541001 China; China-USA Lipids in Health and Disease Research Center, Guilin Medical University, Guilin 541001 China. Electronic address: 510120030@glmc.edu.cn."
39930621,Upregulation of TTYH3 by lncRNA LUCAT1 through interacting with ALYREF facilitates the metastasis in non-small cell lung cancer.,2025,,
39930519,Genetic and molecular characterization of a novel reassortant H3N2 influenza virus from a sick pig in Eastern China in 2019.,2025,,
39930427,Neuropeptide S and its receptor aggravated asthma via TFEB dependent autophagy in bronchial epithelial cells.,2025,,
39930426,Healthcare utilization patterns before and after a long COVID diagnosis: a case-control study.,2025,,
39930396,Exploring prognostic precision: a nomogram approach for malignant pleural effusion in lung cancer.,2025,,
39930365,Single-cell characterization of the immune heterogeneity of pulmonary hypertension identifies novel targets for immunotherapy.,2025,,
39930325,Targeting the Epigenetic Landscape for Lung Cancer Treatment.,2025,,
39930265,Performance Comparison of Centered and Tilted Blunt and Lighthouse Tip Cannulae for Drainage in Extracorporeal Life Support.,2025,,
39930148,Intratumoral and peritumoral PET/CT-based radiomics for non-invasively and dynamically predicting immunotherapy response in NSCLC.,2025,,
